SYMBOL,SECTOR
20MICRONS,Other
3IINFOLTD,Other
3MINDIA,Other
5PAISA,Other
63MOONS,Other
A2ZINFRA,Other
AAKASH,Other
AAREYDRUGS,Other
AARTIDRUGS,Other
AARTIIND,Other
AARTISURF,Other
AAVAS,Other
ABAN,Other
ABB,CapGoods
ABBOTINDIA,Pharma
ABCAPITAL,Other
ABFRL,Other
ABSLAMC,Other
ACC,Cement
ACCELYA,Other
ACCURACY,Other
ACE,Other
ACRYSIL,Other
ADANIENT,Other
ADANIGREEN,Energy
ADANIPORTS,Logistics
ADANIPOWER,Other
ADANITRANS,Other
ADFFOODS,Other
ADORWELD,Other
ADSL,Other
ADVANIHOTR,Other
ADVENZYMES,Other
AEGISCHEM,Other
AFFLE,Other
AGARIND,Other
AGSTRA,Other
AHLADA,Other
AHLUCONT,Other
AIAENG,Other
AIRAN,Other
AJANTPHARM,Other
AJMERA,Other
AJOONI,Other
AKASH,Other
AKSHARCHEM,Other
AKSHOPTFBR,Other
AKZOINDIA,Other
ALANKIT,Other
ALBERTDAVD,Other
ALEMBICLTD,Other
ALICON,Other
ALKALI,Other
ALKEM,Pharma
ALKYLAMINE,Other
ALLCARGO,Other
ALLSEC,Other
ALOKINDS,Other
ALPA,Other
ALPHAGEO,Other
AMARAJABAT,AutoAncil
AMBER,Other
AMBIKCO,Other
AMBUJACEM,Cement
AMIORG,Other
AMRUTANJAN,Other
ANANDRATHI,Other
ANANTRAJ,Other
ANDHRACEMT,Other
ANDHRAPAP,Other
ANDHRSUGAR,Other
ANDREWYU,Other
ANGELBRKG,Other
ANGELONE,Other
ANMOL,Other
ANUP,Other
ANURAS,Other
APARINDS,Other
APCL,Other
APCOTEXIND,Other
APEX,Other
APLAPOLLO,Metals
APLLTD,Other
APOLLO,Other
APOLLOHOSP,Healthcare
APOLLOPIPE,Other
APOLLOTYRE,AutoAncil
APTECHT,Other
APTUS,Other
ARCHIES,Other
ARIES,Other
ARIHANTCAP,Other
ARIHANTSUP,Other
ARMANFIN,Other
AROGRANITE,Other
ARSHIYA,Other
ARTEMISMED,Other
ARVIND,Other
ARVINDFASN,Other
ARVSMART,Other
ASAHIINDIA,Other
ASAHISONG,Other
ASAL,Other
ASALCBR,Other
ASHAPURMIN,Other
ASHIANA,Other
ASHOKA,Other
ASHOKLEY,Auto
ASIANENE,Other
ASIANPAINT,Chemicals
ASIANTILES,Other
ASTEC,Other
ASTERDM,Other
ASTRAL,Other
ASTRAMICRO,Other
ASTRAZEN,Other
ASTRON,Other
ATFL,Other
ATGL,Energy
ATUL,Chemicals
ATULAUTO,Other
AUBANK,Other
AURIONPRO,Other
AUROPHARMA,Pharma
AURUM,Other
AUSOMENT,Other
AUTOAXLES,Other
AVADHSUGAR,Other
AVANTIFEED,Other
AVTNPL,Other
AWHCL,Other
AWL,Other
AXISBANK,Banking
AXISCADES,Other
AXISGOLD,Other
AYMSYNTEX,Other
BAJAJ-AUTO,Auto
BAJAJCON,Other
BAJAJELEC,Other
BAJAJFINSV,NBFC
BAJAJHCARE,Other
BAJAJHIND,Other
BAJAJHLDNG,Other
